Wall time,Step,Value
1528103390.1950183,63,0.16249999403953552
1528103394.160688,64,0.11249999701976776
1528103398.1155972,65,0.13750000298023224
1528103402.0727932,66,0.2874999940395355
1528103406.036903,67,0.20000000298023224
1528103409.990721,68,0.20000000298023224
1528103413.9533417,69,0.22499999403953552
1528103417.912634,70,0.30000001192092896
1528103422.7643213,71,0.15000000596046448
1528103426.7154906,72,0.1875
1528103430.6720877,73,0.1875
1528103434.6271892,74,0.21250000596046448
1528103438.5862014,75,0.20000000298023224
1528103442.5402784,76,0.30000001192092896
1528103446.4963934,77,0.2874999940395355
1528103450.4514365,78,0.30000001192092896
1528103454.4059992,79,0.3375000059604645
1528103458.369666,80,0.38749998807907104
1528103463.2200558,81,0.25
1528103467.176267,82,0.30000001192092896
1528103471.131908,83,0.26249998807907104
1528103475.0931132,84,0.25
1528103479.0598216,85,0.38749998807907104
1528103483.0191467,86,0.375
1528103486.9855764,87,0.38749998807907104
1528103490.9495168,88,0.42500001192092896
1528103494.908452,89,0.4124999940395355
1528103498.858088,90,0.512499988079071
1528103503.708197,91,0.17499999701976776
1528103507.6557317,92,0.1875
1528103511.6182513,93,0.16249999403953552
1528103515.5821333,94,0.17499999701976776
1528103519.5331178,95,0.23749999701976776
1528103523.4974823,96,0.4000000059604645
1528103527.4596298,97,0.36250001192092896
1528103531.4170635,98,0.3499999940395355
1528103535.3838649,99,0.42500001192092896
1528103539.3595576,100,0.4625000059604645
1528103544.2520063,101,0.20000000298023224
1528103548.2150607,102,0.2750000059604645
1528103552.1735842,103,0.26249998807907104
1528103556.1347625,104,0.2874999940395355
1528103560.0909836,105,0.4000000059604645
1528103564.048931,106,0.3375000059604645
1528103567.999527,107,0.42500001192092896
1528103571.9591737,108,0.44999998807907104
1528103575.916969,109,0.4124999940395355
1528103579.8698761,110,0.5249999761581421
1528103584.744519,111,0.38749998807907104
1528103588.6975558,112,0.32499998807907104
1528103592.655846,113,0.2750000059604645
1528103596.6065176,114,0.375
1528103600.5665185,115,0.42500001192092896
1528103604.5343652,116,0.5249999761581421
1528103608.4929388,117,0.512499988079071
1528103612.4387941,118,0.574999988079071
1528103616.402474,119,0.637499988079071
1528103620.3578606,120,0.6625000238418579
1528103625.2217703,121,0.2874999940395355
1528103629.1706338,122,0.3125
1528103633.1282706,123,0.2874999940395355
1528103637.0872147,124,0.4124999940395355
1528103641.0419707,125,0.375
1528103645.007046,126,0.44999998807907104
1528103648.9652812,127,0.44999998807907104
1528103652.9310088,128,0.550000011920929
1528103656.9185476,129,0.5249999761581421
1528103660.9102817,130,0.5249999761581421
1528103665.7866783,131,0.21250000596046448
1528103669.7428463,132,0.2750000059604645
1528103673.692375,133,0.30000001192092896
1528103677.6571803,134,0.25
1528103681.625106,135,0.30000001192092896
1528103685.5925481,136,0.4124999940395355
1528103689.572575,137,0.3375000059604645
1528103693.5226088,138,0.4124999940395355
1528103697.4779284,139,0.48750001192092896
1528103701.437498,140,0.44999998807907104
1528103706.3023577,141,0.25
1528103710.2590742,142,0.23749999701976776
1528103714.22023,143,0.2750000059604645
1528103718.1706135,144,0.2750000059604645
1528103722.1277628,145,0.1875
1528103726.0880208,146,0.38749998807907104
1528103730.0448515,147,0.38749998807907104
1528103734.0132117,148,0.32499998807907104
1528103737.9755924,149,0.4625000059604645
1528103741.9194548,150,0.4124999940395355
1528103746.7925196,151,0.38749998807907104
1528103750.7504084,152,0.38749998807907104
1528103754.7012138,153,0.4375
1528103758.6541252,154,0.4124999940395355
1528103762.6156738,155,0.44999998807907104
1528103766.5703607,156,0.5874999761581421
1528103770.523719,157,0.5
1528103774.4832919,158,0.48750001192092896
1528103778.4395018,159,0.5249999761581421
1528103782.394082,160,0.6000000238418579
1528103787.2329743,161,0.512499988079071
1528103791.1830595,162,0.4625000059604645
1528103795.1425161,163,0.375
1528103799.0953386,164,0.42500001192092896
1528103803.0449452,165,0.5625
1528103807.0016613,166,0.4749999940395355
1528103810.9610791,167,0.5874999761581421
1528103814.9208019,168,0.6000000238418579
1528103818.873128,169,0.512499988079071
1528103822.830616,170,0.737500011920929
1528103827.6638784,171,0.26249998807907104
1528103831.614917,172,0.4625000059604645
1528103835.570671,173,0.2750000059604645
1528103839.5162704,174,0.32499998807907104
1528103843.4626167,175,0.44999998807907104
1528103847.4253168,176,0.4749999940395355
1528103851.3760016,177,0.48750001192092896
1528103855.333282,178,0.5
1528103859.2831795,179,0.550000011920929
1528103863.2281406,180,0.574999988079071
1528103868.108524,181,0.36250001192092896
1528103872.0684524,182,0.48750001192092896
1528103876.024606,183,0.4124999940395355
1528103879.9809635,184,0.4749999940395355
1528103883.9416454,185,0.4375
1528103887.9031744,186,0.5249999761581421
1528103891.8793526,187,0.6499999761581421
1528103895.829114,188,0.574999988079071
1528103899.78767,189,0.5874999761581421
1528103903.7477899,190,0.7124999761581421
1528103908.6003106,191,0.4749999940395355
1528103912.5426333,192,0.5
1528103916.4944909,193,0.4375
1528103920.4559186,194,0.4375
1528103924.432194,195,0.5
1528103928.4006832,196,0.6499999761581421
1528103932.3583097,197,0.675000011920929
1528103936.3079963,198,0.675000011920929
1528103940.2756853,199,0.75
1528103944.2310457,200,0.737500011920929
1528103949.0948744,201,0.4000000059604645
1528103953.061932,202,0.5
1528103957.028936,203,0.42500001192092896
1528103960.996072,204,0.48750001192092896
1528103964.9652066,205,0.5249999761581421
1528103968.9358456,206,0.6000000238418579
1528103972.9104946,207,0.612500011920929
1528103976.8644316,208,0.675000011920929
1528103980.8251371,209,0.574999988079071
1528103984.7945902,210,0.6875
1528103989.637571,211,0.38749998807907104
1528103993.5742738,212,0.44999998807907104
1528103997.5295613,213,0.36250001192092896
1528104001.482327,214,0.3125
1528104005.4423618,215,0.512499988079071
1528104009.386967,216,0.5375000238418579
1528104013.3510773,217,0.5249999761581421
1528104017.3035033,218,0.5
1528104021.2587128,219,0.574999988079071
1528104025.214876,220,0.5375000238418579
1528104030.0566587,221,0.4000000059604645
1528104034.0114977,222,0.36250001192092896
1528104037.9676392,223,0.4000000059604645
1528104041.9150193,224,0.375
1528104045.8702526,225,0.4000000059604645
1528104049.828942,226,0.5375000238418579
1528104053.777875,227,0.4625000059604645
1528104057.7301033,228,0.5
1528104061.6734986,229,0.5625
1528104065.6245718,230,0.5874999761581421
1528104070.4693372,231,0.5375000238418579
1528104074.4312,232,0.5874999761581421
1528104078.3828008,233,0.574999988079071
1528104082.3383727,234,0.5375000238418579
1528104086.2874074,235,0.612500011920929
1528104090.2440665,236,0.75
1528104094.1899395,237,0.699999988079071
1528104098.1465945,238,0.7250000238418579
1528104102.1177115,239,0.7749999761581421
1528104106.0675695,240,0.75
