,id,median,max
73,S102_1_4_3,20.401366119433753,48.411897009162445
74,S037_2_4_7,16.530596716879877,44.90905809864331
75,S025_2_2_9,16.822978750118835,39.33822941546059
76,S057_2_3_11,21.656583524387422,47.75891004778597
77,S085_2_4_10,12.23401416637266,38.761226649264636
78,S019_1_2_12,16.033418925152493,42.54758272688035
79,S047_2_4_1,16.417143673809946,40.131160508821615
80,S088_1_4_8,19.203617518107592,46.21122231018797
81,S096_2_3_4,18.105383169913676,38.77276404480308
82,S079_2_1_4,21.90683246343437,47.21146634087321
83,S081_2_3_1,18.873666395732933,45.30377354538194
84,S085_1_2_6,8.082089512909445,38.98652107008469
85,S046_1_4_12,11.67277715425338,40.69166085167691
86,S062_1_3_4,12.606812767663367,42.26785689819698
87,S102_2_4_3,20.197337990789542,43.244338054767034
88,S102_1_3_3,20.619116894593738,42.81952710186774
89,S074_2_3_2,23.172745198037163,48.67813483854104
90,S085_1_2_5,7.7505404494292325,38.31270170879365
91,S025_2_3_10,18.773792270226956,42.80541206426407
92,S044_1_3_7,9.854831936349996,45.24656807729706
93,S106_1_4_1,16.262930564172066,39.74945151788598
94,S083_1_4_2,17.658198943685033,44.966890884424046
95,S044_1_2_11,8.659242633333328,40.4835225005627
96,S094_1_3_5,14.256382108187779,42.347577414786805
97,S059_1_1_10,22.986802744877885,47.7933452254152
98,S078_2_4_10,16.42804461676845,43.68460464143377
99,S097_2_2_4,8.097237484921543,52.68759220514964
100,S048_1_1_4,22.48866540542435,43.843386552400894
101,S064_1_2_3,11.086333650522754,42.84673479358108
102,S018_1_2_1,11.385593884696778,42.46426442146285
103,S026_1_3_10,19.90468096252453,46.528837720591504
104,S048_1_2_12,12.661168041060789,41.72472530104844
105,S024_1_3_1,14.406226321865415,41.34863276347671
106,S091_2_3_2,23.538491227923945,40.188630466325606
107,S072_2_4_5,17.932923008202565,41.14668136677287
108,S095_1_2_3,17.592263201288,44.54880669680161
109,S089_1_2_8,12.054885448039876,39.494640260272625
110,S103_1_1_2,20.480882033691252,50.29098719587876
111,S107_2_4_5,14.219733633908087,40.42108625508182
112,S029_1_2_10,16.776171497248605,48.82462012843073
113,S098_2_2_8,13.866223645668297,46.83940663559681
114,S055_1_2_8,15.10866872756305,38.63558482257731
115,S089_1_3_11,19.058254642856312,42.472405403182464
116,S043_2_1_3,12.714126773744542,45.92548006274992
117,S088_2_1_8,14.718035938824904,45.327199481380106
118,S070_1_4_1,17.906006907793817,42.674205470032724
119,S098_2_3_12,11.8986138068515,49.30834784498227
120,S090_1_2_10,8.582612818099522,39.31248664773508
121,S083_2_2_1,13.160461658824833,41.15005573572382
122,S026_1_4_1,19.607556271061103,44.1544865816645
123,S085_1_3_4,15.10686539016327,42.14122123705674
124,S069_1_2_6,8.79378404429487,53.57389560976564
125,S036_1_1_10,14.038108084278491,45.4030073112808
126,S029_2_2_10,15.337722672227752,43.103677439910264
127,S043_1_4_9,16.41045843615135,46.21410623852642
128,S069_2_4_1,13.477647714264656,42.14266891633967
129,S086_1_3_9,14.748719525368521,42.58390320769079
130,S098_1_2_7,7.85097392804452,46.190845738592415
131,S100_2_1_11,18.227069600817497,51.85100109729602
132,S078_1_2_7,9.255340346456595,39.8489746779383
133,S044_2_3_1,13.509980867297784,47.75382205199695
134,S041_1_2_9,23.26736710855579,58.89585822398732
135,S074_1_4_4,18.126243426086827,46.933256465836536
136,S097_1_2_7,9.30555327384014,51.905975884063956
137,S035_1_1_2,14.149503122870028,47.524870492568894
138,S070_2_1_9,12.714179503073339,40.50922591157984
139,S103_2_2_10,19.713409384618203,44.49040972447066
140,S089_1_2_1,10.893075395914668,39.617523710468205
141,S061_2_1_12,18.214972013690076,40.67270295940713
142,S078_1_2_12,9.12783225631561,40.53398235196194
143,S051_2_1_7,13.878003144194945,39.037862838786474
144,S039_1_1_8,19.59406646836023,44.6817358537472
145,S017_2_3_12,19.698736146639398,44.08206111969649
146,S083_2_1_13,13.71897439137691,43.87982511380386
147,S101_2_1_4,20.194821537708087,47.06809423104858
148,S058_2_3_6,17.96072262701766,43.109166627463544
149,S037_2_2_10,13.390966689564495,43.23161943799439
150,S018_1_4_3,21.367093098674033,44.923207108956674
151,S050_2_2_9,19.12964157035593,44.73560507414804
152,S025_1_1_9,16.080611370960764,45.96702203512426
153,S072_1_1_2,16.82369586664482,41.18336283038033
154,S079_1_3_7,22.484736859208308,41.47082638935502
155,S096_1_4_3,21.627024703730434,41.59824789387312
156,S107_2_4_6,14.342700512006452,41.1723045860325
157,S017_1_2_11,22.592283261017656,46.58973000081959
158,S068_2_2_5,14.443609402537184,41.00407287463675
159,S074_2_2_11,19.468448055169617,45.68095258140252
160,S052_2_3_2,24.304704994444748,42.16780246006403
161,S052_1_4_10,16.97988707201059,39.8796894013839
162,S042_1_4_1,20.16481059137429,39.17981070840618
163,S102_1_4_8,20.73096620265092,47.07079292525861
164,S085_2_1_12,16.100378724171712,40.187022175826755
165,S076_1_3_5,20.604160261084704,44.02739947089097
166,S106_2_4_9,13.118237375627826,37.05409238187457
167,S074_2_1_7,22.828923868393503,50.03014392402611
168,S069_1_4_1,18.55552810071433,41.68315415724875
169,S091_2_3_12,22.456206669887457,40.86324917428917
170,S042_1_4_8,20.408148490953735,39.85336386568542
171,S103_1_4_9,21.673474588856116,49.92159631607019
172,S061_1_1_6,21.728169107802117,44.084976718237506
173,S063_2_1_7,16.256919517677034,45.253792530709454
174,S055_1_2_4,14.615799986374546,38.44347481235943
175,S098_1_1_9,12.632234121441387,48.32142007055081
