,id,len,mean,std,id_person,id_location,id_direction,id_exp
2271,S025_1_3_5,10926.0,17.167981831527875,7.796293723777552,25,1,3,5
2272,S025_1_3_6,10515.0,17.344161360404836,7.571205836144767,25,1,3,6
2273,S025_1_3_7,10591.0,17.148756733933375,7.58399391350959,25,1,3,7
2274,S025_1_3_8,10575.0,17.41402687475034,7.498271039861228,25,1,3,8
2275,S025_1_3_9,10674.0,17.058236914731026,7.565243694410867,25,1,3,9
2276,S025_1_4_1,11622.0,13.466682096712656,9.556298396068772,25,1,4,1
2277,S025_1_4_10,10079.0,13.693310986049948,9.463786023039196,25,1,4,10
2278,S025_1_4_11,11477.0,13.78169981159044,9.386896139623756,25,1,4,11
2279,S025_1_4_12,11459.0,13.744080580724532,9.361545969978149,25,1,4,12
2280,S025_1_4_2,11480.0,13.557933884947063,9.600640319226388,25,1,4,2
2281,S025_1_4_3,11542.0,13.641732466069966,9.511095584111649,25,1,4,3
2282,S025_1_4_4,11525.0,13.441008376690192,9.434174300086653,25,1,4,4
2283,S025_1_4_5,11473.0,13.577821244127037,9.47813739489797,25,1,4,5
2284,S025_1_4_6,11606.0,13.346803929907962,9.300806986323003,25,1,4,6
2285,S025_1_4_7,11576.0,13.468757836096943,9.422879184930848,25,1,4,7
2286,S025_1_4_8,10898.0,13.43584792406173,9.46735755548033,25,1,4,8
2287,S025_1_4_9,10898.0,13.43584792406173,9.46735755548033,25,1,4,9
2288,S025_2_1_1,10528.0,17.914622054372206,8.953142165900273,25,2,1,1
2289,S025_2_1_10,11133.0,17.925201587692186,8.478121672770417,25,2,1,10
2290,S025_2_1_11,11192.0,18.013320893244575,8.551008332337148,25,2,1,11
2291,S025_2_1_12,10515.0,18.034143859787644,8.521396119891643,25,2,1,12
2292,S025_2_1_2,10851.0,17.900409525372204,8.745052001760884,25,2,1,2
2293,S025_2_1_3,10720.0,17.910541302205214,8.615665994182532,25,2,1,3
2294,S025_2_1_4,10940.0,17.99566569452219,8.616925750878252,25,2,1,4
2295,S025_2_1_5,10869.0,18.007196925178558,8.520858224180447,25,2,1,5
2296,S025_2_1_6,10869.0,18.007196925178558,8.520858224180447,25,2,1,6
2297,S025_2_1_7,11200.0,17.8068713765886,8.617048737142792,25,2,1,7
2298,S025_2_1_8,11042.0,17.79556779450892,8.52812524689806,25,2,1,8
2299,S025_2_1_9,10996.0,17.838932172658755,8.736537587141944,25,2,1,9
2300,S025_2_2_1,10663.0,17.51807808183447,6.785306205332331,25,2,2,1
2301,S025_2_2_10,10745.0,17.47796030869327,6.9636059409832045,25,2,2,10
