"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"327",13.76888225,0.3993,162.3756337,0.1399,93.95623541,0.1086,296.8872995,0.1975,NA,NA,NA,NA,210.0372527,118.81854631,81.2686686,NA,NA
"328",13.84849274,0.3973,162.9727123,0.1401,95.15039266,0.1085,297.3450598,0.1982,NA,NA,NA,NA,209.4401741,120.01270356,80.8109083,NA,NA
"329",13.91815191,0.3951,163.569791,0.1401,96.36445253,0.1083,298.1411646,0.1995,NA,NA,NA,NA,208.8430954,121.22676343,80.0148035,NA,NA
"330",14.0077137,0.3925,164.1768209,0.1402,97.55860978,0.1081,298.5591196,0.2001,NA,NA,NA,NA,208.2360655,122.42092068,79.5968485,NA,NA
"331",14.0972755,0.3902,164.7838508,0.1403,98.77266965,0.108,299.434835,0.2015,NA,NA,NA,NA,207.6290356,123.63498055,78.7211331,NA,NA
"332",14.16693467,0.3882,165.3809295,0.1403,99.96673728,0.1078,299.7532769,0.202,NA,NA,NA,NA,207.0319569,124.82904818,78.4026912,NA,NA
"333",14.25649646,0.3859,165.9780081,0.1404,101.1607153,0.1076,300.7086027,0.2035,NA,NA,NA,NA,206.4348783,126.0230262,77.4473654,NA,NA
"334",14.32615564,0.3839,166.585038,0.1405,102.3547829,0.1075,300.9673368,0.2039,NA,NA,NA,NA,205.8278484,127.2170938,77.1886313,NA,NA
"335",14.40576612,0.3816,167.1821166,0.1406,103.5687517,0.1074,301.9823704,0.2055,NA,NA,NA,NA,205.2307698,128.4310626,76.1735977,NA,NA
"336",14.44557136,0.3807,167.7791953,0.1407,104.7827204,0.1073,302.161494,0.2058,NA,NA,NA,NA,204.6336911,129.6450313,75.9944741,NA,NA
"337",14.49532791,0.3794,168.3762739,0.1407,105.976788,0.1072,303.1367224,0.2075,NA,NA,NA,NA,204.0366125,130.8390989,75.0192457,NA,NA
"338",14.5749384,0.3773,168.9833038,0.1409,107.1708557,0.107,303.3755539,0.2079,NA,NA,NA,NA,203.4295826,132.0331666,74.7804142,NA,NA
"339",14.66450019,0.3751,169.5803825,0.1409,108.3650129,0.1068,304.2711718,0.2095,NA,NA,NA,NA,202.8325039,133.2273238,73.8847963,NA,NA
"340",14.73415936,0.3731,170.1874124,0.141,109.5789817,0.1067,304.5896138,0.2102,NA,NA,NA,NA,202.225474,134.4412926,73.5663543,NA,NA
"341",14.82372116,0.3709,170.7944423,0.1411,109.6187839,0.1066,305.2464002,0.2115,NA,NA,NA,NA,201.6184441,134.4810948,72.9095679,NA,NA
"342",14.90333164,0.3685,171.3915209,0.1411,110.7730493,0.1065,305.783771,0.2126,NA,NA,NA,NA,201.0213655,135.6353602,72.3721971,NA,NA
"343",14.99289344,0.3664,171.9885996,0.1412,111.9671169,0.1064,306.1818234,0.2136,NA,NA,NA,NA,200.4242868,136.8294278,71.9741447,NA,NA
"344",15.06255261,0.3647,172.5956295,0.1413,113.1811768,0.1062,306.9978309,0.2155,NA,NA,NA,NA,199.8172569,138.0434877,71.1581372,NA,NA
"345",15.08245523,0.3643,173.1927081,0.1414,114.375334,0.106,307.0376361,0.2156,NA,NA,NA,NA,199.2201783,139.2376449,71.118332,NA,NA
"346",15.17201702,0.362,173.7997381,0.1415,115.5893028,0.1059,307.833741,0.2176,NA,NA,NA,NA,198.6131483,140.4516137,70.3222271,NA,NA
"347",15.26157882,0.3598,174.3968167,0.1416,116.7833704,0.1057,308.2118907,0.2186,NA,NA,NA,NA,198.0160697,141.6456813,69.9440774,NA,NA
"348",15.3411893,0.3578,174.9938953,0.1417,117.9775277,0.1056,308.5900405,0.2196,NA,NA,NA,NA,197.4189911,142.8398386,69.5659276,NA,NA
"349",15.43075109,0.3557,175.6009253,0.1417,119.1914964,0.1054,309.406048,0.2217,NA,NA,NA,NA,196.8119611,144.0538073,68.7499201,NA,NA
"350",15.51036158,0.3537,176.1980039,0.1417,120.385564,0.1052,310.3215686,0.2237,NA,NA,NA,NA,196.2148825,145.2478749,67.8343995,NA,NA
"351",15.59992337,0.3516,176.7851312,0.1419,121.5797213,0.105,310.6400105,0.2242,NA,NA,NA,NA,195.6277552,146.4420322,67.5159576,NA,NA
"352",15.65963123,0.3504,176.8050368,0.1418,122.79369,0.1048,311.7346546,0.2257,NA,NA,NA,NA,195.6078496,147.6560009,66.4213135,NA,NA
"353",15.68948517,0.3496,177.4022051,0.142,123.9877577,0.1047,311.8341677,0.2258,NA,NA,NA,NA,195.0106813,148.8500686,66.3218004,NA,NA
"354",15.77904696,0.3475,178.009235,0.142,124.2464917,0.1046,313.0482276,0.227,NA,NA,NA,NA,194.4036514,149.1088026,65.1077405,NA,NA
"355",15.86860875,0.3453,178.6162649,0.1421,125.2018175,0.1045,314.1627744,0.2277,NA,NA,NA,NA,193.7966215,150.0641284,63.9931937,NA,NA
"356",15.95817055,0.3433,179.2232949,0.1422,126.3959748,0.1043,314.2622875,0.2277,NA,NA,NA,NA,193.1895915,151.2582857,63.8936806,NA,NA
"357",16.04773234,0.3412,179.8203735,0.1423,127.6100347,0.1041,315.4763474,0.2284,NA,NA,NA,NA,192.5925129,152.4723456,62.6796207,NA,NA
"358",16.16714807,0.3386,180.4274034,0.1424,128.8240945,0.1039,316.6904072,0.229,NA,NA,NA,NA,191.985483,153.6864054,61.4655609,NA,NA
"359",16.25670986,0.3365,181.0344334,0.1424,130.0380633,0.1037,317.9044671,0.2295,NA,NA,NA,NA,191.378453,154.9003742,60.251501,NA,NA
